pitch_x,pitch_y,pitch_type,strike
75,-96,FB,0
-58,-67,FB,1
86,-11,FB,0
67,-40,FB,0
42,-12,FB,1
9,-8,BRK,1
72,-39,FB,0
-63,-21,BRK,1
-9,114,FB,0
-29,-108,BRK,0
-69,-88,FB,0
43,70,FB,1
-82,-75,BRK,0
-80,-8,FB,0
-8,-52,FB,1
81,-49,BRK,0
44,-39,FB,1
59,-30,FB,0
-7,-90,FB,0
-55,-98,FB,0
59,87,FB,0
2,-59,FB,1
8,17,FB,1
-79,-67,FB,0
-72,-89,BRK,0
-64,-105,FB,0
87,-6,BRK,1
-86,-8,BRK,0
-1,120,FB,0
-52,-45,FB,1
-77,-66,BRK,0
-83,-76,FB,0
34,-6,BRK,1
-91,-12,FB,0
0,96,BRK,0
-94,-57,FB,0
-55,-106,BRK,0
-64,-30,FB,1
-83,-48,FB,0
-1,-111,BRK,0
33,121,FB,0
36,118,FB,0
87,-82,FB,0
-15,-67,BRK,1
55,-54,FB,1
-62,-72,BRK,0
-5,132,FB,0
-88,-57,FB,0
-8,97,FB,0
11,12,FB,1
-77,-68,FB,0
11,-41,BRK,1
-5,-40,FB,1
-25,-11,FB,1
-84,-50,FB,0
92,107,BRK,0
-122,-89,BRK,0
-63,-62,BRK,0
-14,-117,BRK,0
-8,-37,BRK,1
-3,-27,FB,1
-60,-108,BRK,0
-65,-30,FB,1
-43,-113,BRK,0
-58,-106,BRK,0
-4,96,FB,0
85,-59,FB,0
38,30,FB,1
50,4,FB,1
-14,-35,FB,1
-73,-79,BRK,0
-76,-141,BRK,0
-69,-83,FB,0
102,121,BRK,0
-9,-115,FB,0
-84,-100,FB,0
-100,-113,BRK,0
10,-23,FB,1
-69,-98,BRK,0
82,4,FB,0
53,-41,FB,0
9,121,FB,0
-116,-93,FB,0
-4,-32,FB,1
57,118,FB,0
-106,-85,FB,0
4,-64,FB,1
80,48,BRK,0
-13,-130,FB,0
95,93,FB,0
-16,-107,FB,0
92,-35,FB,0
58,-105,FB,0
-23,-103,BRK,0
-42,-2,BRK,1
-71,-127,BRK,0
-44,-35,FB,1
93,101,FB,0
-30,-22,BRK,1
-128,-93,BRK,0
1,-54,FB,1
28,116,FB,0
-29,-33,BRK,1
94,95,FB,0
10,115,FB,0
47,-60,FB,1
95,99,FB,0
-56,-110,BRK,0
73,-100,FB,0
84,115,FB,0
9,-35,FB,1
-36,-44,FB,1
-10,99,CHG,0
-2,121,FB,0
91,-97,BRK,0
83,-90,CHG,0
77,-101,FB,0
2,-101,CHG,0
-27,-129,CHG,0
26,-15,BRK,0
95,-45,BRK,0
47,-33,BRK,1
47,-22,BRK,0
36,121,FB,0
-83,-128,FB,0
-99,-74,FB,0
-111,-88,FB,0
-105,-54,FB,0
9,117,FB,0
38,111,FB,0
-17,-29,FB,1
-83,-49,FB,0
76,88,BRK,0
64,-16,FB,0
81,-97,FB,0
82,-114,FB,0
97,-93,BRK,0
99,-122,FB,0
27,-42,FB,1
5,101,FB,0
60,-43,BRK,1
58,106,BRK,0
39,-115,CHG,0
-108,-38,FB,0
-72,-44,FB,1
-2,104,BRK,0
-69,-20,FB,1
-74,-71,FB,0
90,-51,FB,0
73,-58,BRK,0
51,-45,FB,1
-22,-23,FB,1
-26,-118,FB,0
43,121,BRK,0
102,-83,CHG,0
-39,105,BRK,0
4,-40,BRK,1
38,121,FB,0
14,115,BRK,0
67,112,FB,0
84,-21,BRK,0
-33,-30,BRK,1
10,119,FB,0
31,-19,BRK,1
34,-11,BRK,0
68,12,FB,0
-15,-117,BRK,0
-102,-102,BRK,0
-24,-45,FB,1
44,-24,FB,1
83,-18,BRK,0
28,-28,FB,1
83,103,FB,0
81,-33,FB,0
34,-30,FB,1
6,111,FB,0
11,-117,BRK,0
22,-30,FB,1
42,-102,CHG,0
-54,-13,FB,1
36,-78,CHG,0
-100,-102,FB,0
-99,-95,FB,0
5,-97,FB,0
13,106,FB,0
-3,-17,FB,1
36,-31,CHG,1
52,-2,BRK,0
-91,19,FB,0
83,38,FB,0
27,106,FB,0
48,-30,FB,1
-40,-118,FB,0
-1,-55,FB,1
101,99,BRK,0
-22,-52,FB,1
-78,-66,FB,0
36,-21,BRK,1
43,-30,FB,0
-1,-139,CHG,0
-79,-133,FB,0
33,-106,FB,0
59,-59,FB,0
44,-25,BRK,1
103,-46,BRK,0
39,-28,FB,0
-60,-104,FB,0
-34,-28,BRK,1
-3,-23,FB,1
77,-104,CHG,0
-49,110,FB,0
30,52,FB,1
33,-17,BRK,0
-20,-122,FB,0
53,116,FB,0
-21,-111,CHG,0
97,71,FB,0
-41,-23,FB,1
14,-22,FB,0
-21,-35,FB,1
-15,-34,FB,1
-91,-19,FB,0
-42,-64,FB,0
-59,-111,CHG,0
-44,-34,FB,1
-27,-117,CHG,0
-13,-56,CHG,1
-37,-125,CHG,0
19,25,FB,1
49,108,FB,0
101,106,BRK,0
53,112,FB,0
-70,-109,FB,0
-33,111,FB,0
37,127,FB,0
-36,-119,FB,0
-54,-49,FB,1
-74,-120,FB,0
-30,-70,FB,1
13,-21,FB,1
-99,-108,FB,0
-114,-91,FB,0
35,106,FB,0
-39,45,FB,1
-73,-113,FB,0
89,29,FB,0
-5,106,FB,0
-52,-32,FB,1
